region_id,subbasin,subbasin_id,helcom_id,eez,region_name,region_order,subbasin_order,region_area_km2,subbasin_area_km2
1,Kattegat,501,SEA-001,Sweden,"Kattegat, Sweden",42,17,6565.58648,22040.23616
2,Kattegat,501,SEA-001,Denmark,"Kattegat, Denmark",41,17,16315.48518,22040.23616
3,Great Belt,502,SEA-002,Denmark,"Great Belt, Denmark",40,16,9987.811692,10411.48111
5,The Sound,503,SEA-003,Sweden,"The Sound, Sweden",38,15,594.7229131,1201.05226
6,The Sound,503,SEA-003,Denmark,"The Sound, Denmark",37,15,577.868894,1201.05226
7,Kiel Bay,504,SEA-004,Denmark,"Kiel Bay, Denmark",36,14,1211.206205,3386.976764
8,Kiel Bay,504,SEA-004,Germany,"Kiel Bay, Germany",35,14,2095.514774,3386.976764
9,Bay of Mecklenburg,505,SEA-005,Denmark,"Bay of Mecklenburg, Denmark",33,13,1141.107314,4583.11505
10,Bay of Mecklenburg,505,SEA-005,Germany,"Bay of Mecklenburg, Germany",34,13,3380.619887,4583.11505
11,Arkona Basin,506,SEA-006,Sweden,"Arkona Basin, Sweden",31,12,4229.102116,17570.47913
12,Arkona Basin,506,SEA-006,Denmark,"Arkona Basin, Denmark",32,12,6178.484457,17570.47913
13,Arkona Basin,506,SEA-006,Germany,"Arkona Basin, Germany",30,12,6943.742311,17570.47913
14,Bornholm Basin,507,SEA-007,Sweden,"Bornholm Basin, Sweden",26,11,15059.21006,42151.18226
15,Bornholm Basin,507,SEA-007,Denmark,"Bornholm Basin, Denmark",27,11,7132.670661,42151.18226
16,Bornholm Basin,507,SEA-007,Germany,"Bornholm Basin, Germany",29,11,2532.230092,42151.18226
17,Bornholm Basin,507,SEA-007,Poland,"Bornholm Basin, Poland",28,11,17231.0762,42151.18226
18,Gdansk Basin,508,SEA-008,Poland,"Gdansk Basin, Poland",24,10,3598.084656,5821.25035
19,Gdansk Basin,508,SEA-008,Russia,"Gdansk Basin, Russia",23,10,2093.515242,5821.25035
20,Eastern Gotland Basin,509,SEA-009,Sweden,"Eastern Gotland Basin, Sweden",19,9,21904.30698,74952.58754
21,Eastern Gotland Basin,509,SEA-009,Poland,"Eastern Gotland Basin, Poland",25,9,11013.70752,74952.58754
22,Eastern Gotland Basin,509,SEA-009,Russia,"Eastern Gotland Basin, Russia",22,9,9402.468417,74952.58754
23,Eastern Gotland Basin,509,SEA-009,Lithuania,"Eastern Gotland Basin, Lithuania",21,9,6083.725523,74952.58754
24,Eastern Gotland Basin,509,SEA-009,Latvia,"Eastern Gotland Basin, Latvia",20,9,20992.31536,74952.58754
25,Eastern Gotland Basin,509,SEA-009,Estonia,"Eastern Gotland Basin, Estonia",17,9,5364.643025,74952.58754
26,Western Gotland Basin,510,SEA-010,Sweden,"Western Gotland Basin, Sweden",18,8,27312.86004,27456.05692
27,Gulf of Riga,511,SEA-011,Latvia,"Gulf of Riga, Latvia",16,7,7846.037611,18768.4712
28,Gulf of Riga,511,SEA-011,Estonia,"Gulf of Riga, Estonia",15,7,10356.88643,18768.4712
29,Northern Baltic Proper,512,SEA-012,Sweden,"Northern Baltic Proper, Sweden",13,6,17846.79876,39370.04477
30,Northern Baltic Proper,512,SEA-012,Finland,"Northern Baltic Proper, Finland",12,6,9809.853683,39370.04477
31,Northern Baltic Proper,512,SEA-012,Estonia,"Northern Baltic Proper, Estonia",14,6,11685.76156,39370.04477
32,Gulf of Finland,513,SEA-013,Finland,"Gulf of Finland, Finland",10,5,9376.481311,29547.32054
33,Gulf of Finland,513,SEA-013,Russia,"Gulf of Finland, Russia",9,5,11279.10632,29547.32054
34,Gulf of Finland,513,SEA-013,Estonia,"Gulf of Finland, Estonia",11,5,8121.920541,29547.32054
35,Aland Sea,514,SEA-014,Sweden,"Aland Sea, Sweden",8,4,2732.120226,8328.44097
36,Aland Sea,514,SEA-014,Finland,"Aland Sea, Finland",7,4,6031.72366,8328.44097
37,Bothnian Sea,515,SEA-015,Sweden,"Bothnian Sea, Sweden",5,3,31239.66735,59872.69655
38,Bothnian Sea,515,SEA-015,Finland,"Bothnian Sea, Finland",6,3,27952.38321,59872.69655
39,The Quark,516,SEA-016,Sweden,"The Quark, Sweden",3,2,3164.645219,8148.71162
40,The Quark,516,SEA-016,Finland,"The Quark, Finland",4,2,4862.279826,8148.71162
41,Bothnian Bay,517,SEA-017,Sweden,"Bothnian Bay, Sweden",1,1,16947.66507,32266.73428
42,Bothnian Bay,517,SEA-017,Finland,"Bothnian Bay, Finland",2,1,14709.86813,32266.73428
43,Archipelago Sea,518,SEA-018,Finland,"Archipelago Sea, Finland",43,18,6780.301,6780.301
